province,sector_code,sector_name,total_output,BL,FL,VL,year
天津,06,食品和烟草,98537456.45133989,0.5600121408178813,0.24030979740007005,0.4001609691089757,2015
天津,07,纺织品,5231577.202810582,0.5412636646686603,0.043062852657656456,0.29216325866315834,2015
天津,08,纺织服装鞋帽皮革羽绒及其制品,17871064.97115719,0.5870269734206592,0.04587839349076016,0.3164526834557097,2015
天津,09,木材加工品和家具,5306968.939533391,0.5816949685412651,0.027085730608819837,0.30439034957504246,2015
天津,10,造纸印刷和文教体育用品,33456031.941553503,0.5600555778058918,0.18526564855144229,0.37266061317866706,2015
天津,11,石油、炼焦产品和核燃料加工品,56469976.6313239,0.5305707147849286,0.2266899649822089,0.37863033988356876,2015
天津,12,化学产品,100758980.43010592,0.5518448503835442,0.46463859625207116,0.5082417233178077,2015
天津,13,非金属矿物制品,15974789.883660553,0.5518949078713153,0.044807656766743316,0.29835128231902935,2015
天津,14,金属冶炼和压延加工品,207268760.93389446,0.5399770440992456,0.504796462289183,0.5223867531942143,2015
天津,15,金属制品,51229392.168354124,0.5293533401262325,0.23753361222002725,0.38344347617312985,2015
天津,16,通用设备,49495337.07459715,0.5617108413210246,0.22409560799316244,0.3929032246570935,2015
天津,17,专用设备,42759519.44329696,0.5388231252566024,0.16974681214400095,0.3542849687003017,2015
天津,18,交通运输设备,127973814.35873017,0.5538406508304222,0.2348577094041768,0.3943491801172995,2015
